Año,Trimestre,Provincia,Mbps (Media de bajada),Periodo
2014,3,La Pampa,3,14-T3
2014,3,La Rioja,3,14-T3
2014,3,Mendoza,4,14-T3
2014,3,Misiones,4,14-T3
2014,3,Neuquén,4,14-T3
2014,3,Río Negro,3,14-T3
2014,3,Salta,3,14-T3
2014,3,San Juan,3,14-T3
2014,3,San Luis,4,14-T3
2014,3,Santa Cruz,3,14-T3
2014,3,Santa Fe,3,14-T3
2014,3,Santiago Del Estero,3,14-T3
2014,3,Tierra Del Fuego,3,14-T3
2014,3,Tucumán,3,14-T3
2014,2,Buenos Aires,4,14-T2
2014,2,Capital Federal,4,14-T2
2014,2,Catamarca,3,14-T2
2014,2,Chaco,3,14-T2
2014,2,Chubut,3,14-T2
2014,2,Córdoba,4,14-T2
2014,2,Corrientes,3,14-T2
2014,2,Entre Ríos,3,14-T2
2014,2,Formosa,3,14-T2
2014,2,Jujuy,3,14-T2
2014,2,La Pampa,3,14-T2
2014,2,La Rioja,3,14-T2
2014,2,Mendoza,4,14-T2
2014,2,Misiones,4,14-T2
2014,2,Neuquén,4,14-T2
2014,2,Río Negro,3,14-T2
2014,2,Salta,3,14-T2
2014,2,San Juan,3,14-T2
2014,2,San Luis,4,14-T2
2014,2,Santa Cruz,3,14-T2
2014,2,Santa Fe,3,14-T2
2014,2,Santiago Del Estero,3,14-T2
2014,2,Tierra Del Fuego,3,14-T2
2014,2,Tucumán,3,14-T2
2014,1,Buenos Aires,4,14-T1
2014,1,Capital Federal,4,14-T1
2014,1,Catamarca,3,14-T1
2014,1,Chaco,3,14-T1
2014,1,Chubut,3,14-T1
2014,1,Córdoba,3,14-T1
2014,1,Corrientes,3,14-T1
2014,1,Entre Ríos,3,14-T1
2014,1,Formosa,3,14-T1
2014,1,Jujuy,3,14-T1
2014,1,La Pampa,3,14-T1
2014,1,La Rioja,3,14-T1
2014,1,Mendoza,4,14-T1
2014,1,Misiones,3,14-T1
2014,1,Neuquén,4,14-T1
2014,1,Río Negro,3,14-T1
2014,1,Salta,3,14-T1
2014,1,San Juan,3,14-T1
2014,1,San Luis,4,14-T1
2014,1,Santa Cruz,3,14-T1
2014,1,Santa Fe,3,14-T1
2014,1,Santiago Del Estero,3,14-T1
2014,1,Tierra Del Fuego,3,14-T1
2014,1,Tucumán,3,14-T1
